Caracteristica,p_Shapiro_Pre,p_Shapiro_Post,Test,p_Test,Significativo
gsrMaxValue,0.0416092268950378,0.0144832374741979,Mann-Whitney,0.00414028698417446,Sí
gsrMinValue,0.132684838605439,0.290893364914705,t-Student,0.954073735033834,No
gsrRangeValue,3.95251060547608e-07,0.0105745211867662,Mann-Whitney,0.000201531886022067,Sí
gsrMeanValue,0.0877275559977002,0.0587545774870423,t-Student,0.0789278480956837,No
gsrStdValue,4.4494728890232e-07,0.00717295888588487,Mann-Whitney,0.000181166558040463,Sí
gsrMedianValue,0.074297490334442,0.00533570219816337,Mann-Whitney,0.0850483622882079,No
gsrModeValue,0.132684838605439,0.290893364914705,t-Student,0.954073735033834,No
tonicMaxValue,0.000845531558977042,0.000832866302395541,Mann-Whitney,0.644989588447101,No
tonicMinValue,0.0011208026930003,0.000872167574569427,Mann-Whitney,0.563899646390421,No
tonicRangeValue,6.44223748196282e-05,0.0330484097064135,Mann-Whitney,0.771244828679303,No
tonicMeanValue,0.00171028894400038,0.000820027732469031,Mann-Whitney,0.644997956351292,No
tonicStdValue,5.11815533922322e-05,0.0199517767055143,Mann-Whitney,0.569984115359256,No
tonicQuartile25Value,0.000963549840477418,0.000887255578057911,Mann-Whitney,0.648205860298024,No
tonicQuartile75Value,0.00129750218723612,0.000838186481528558,Mann-Whitney,0.632209609852662,No
phasicMinValue,0.0371200270192757,0.291109115302216,Mann-Whitney,0.314193157815335,No
phasicMaxValue,0.480801575166896,0.0264832869083061,Mann-Whitney,0.00187756559674885,Sí
phasicRangeValue,0.000822589221830317,0.0796926821019646,Mann-Whitney,4.96988281120001e-05,Sí
phasicMeanValue,0.0698072985996016,0.670534438080244,t-Student,0.00854316449995401,Sí
phasicEnergyValue,1.41543634225583e-05,0.00177188016275853,Mann-Whitney,0.00864788691813615,Sí
phasicStdValue,0.00199946394963835,0.00374630416981381,Mann-Whitney,8.1230632224278e-05,Sí
phasicStrongPeakValue,0.000754173803262148,0.0113322554350374,Mann-Whitney,2.02212560699441e-06,Sí
phasicNumPeaksValue,1.76245684713194e-11,1.0246359316568e-11,Mann-Whitney,0.326109452020489,No
phasicRiseTimeValue,0.00934525413783205,0.014210635894542,Mann-Whitney,0.00155011226686907,Sí
phasicHalfRecoveryTimeValue,5.72357947703495e-08,2.17950102410214e-10,Mann-Whitney,0.0762684471438124,No
phasicPeakEnergyValue,6.44691512274864e-05,8.46205671822808e-06,Mann-Whitney,3.00216540685649e-06,Sí
phasicMedianValue,0.161709494673984,0.171714861586617,t-Student,0.00585076096497949,Sí
phasicModeValue,0.0371200270192757,0.291109115302216,Mann-Whitney,0.314193157815335,No
phasicRMSValue,0.114233375400077,0.225499051576896,t-Student,0.00279834188320507,Sí
phasicQuartile25Value,0.00882394904975592,0.0146099680922007,Mann-Whitney,0.989293435038089,No
phasicQuartile75Value,0.122407781120939,0.0507661453471602,t-Student,0.000791769981706035,Sí
