Caracteristica,p_Shapiro_Pre,p_Shapiro_Post,Test,p_Test,Significativo
gsrMaxValue,0.726810373275596,0.0361857586393641,Mann-Whitney,0.964321915783815,No
gsrMinValue,0.0372731951872475,0.0107702175982889,Mann-Whitney,0.829996109171688,No
gsrRangeValue,0.118982594245857,0.000329857194065641,Mann-Whitney,0.840474652369188,No
gsrMeanValue,0.347935310570012,0.0343596225873771,Mann-Whitney,0.710442737795703,No
gsrStdValue,0.134404487683728,3.18938090071441e-05,Mann-Whitney,0.903871765080949,No
gsrMedianValue,0.271133268199794,0.0333451500537273,Mann-Whitney,0.600734478946497,No
gsrModeValue,0.0372731951872475,0.0107702175982889,Mann-Whitney,0.829996109171688,No
tonicMaxValue,0.250278263704151,0.131385416604134,t-Student,0.590141668186808,No
tonicMinValue,0.161781935046245,0.121233304668822,t-Student,0.688644637819282,No
tonicRangeValue,1.05225879132309e-06,1.96485851633454e-06,Mann-Whitney,0.563925300574055,No
tonicMeanValue,0.177038643016435,0.117441850783822,t-Student,0.575914307191394,No
tonicStdValue,6.74394782351762e-07,3.40068909543412e-06,Mann-Whitney,0.826511001361235,No
tonicQuartile25Value,0.246775582029199,0.118052974175305,t-Student,0.624241909889694,No
tonicQuartile75Value,0.262256549607336,0.118531911852709,t-Student,0.506685696939241,No
phasicMinValue,0.0190364390509543,0.00181593131456481,Mann-Whitney,0.25401970667138,No
phasicMaxValue,0.0757698093636168,0.0232827653827758,Mann-Whitney,0.428513198204684,No
phasicRangeValue,0.158991852601447,0.300922347229628,t-Student,0.822302529770163,No
phasicMeanValue,0.0429009504067577,0.00682024562620931,Mann-Whitney,0.57607379940699,No
phasicEnergyValue,7.69982186124007e-05,0.000464931306228933,Mann-Whitney,0.613241078320929,No
phasicStdValue,0.250693048740583,0.178441550877374,t-Student,0.996067848344706,No
phasicStrongPeakValue,1.26814413554666e-05,1.41018834409756e-06,Mann-Whitney,0.390735200694812,No
phasicNumPeaksValue,2.17726003892693e-09,2.63058461680288e-08,Mann-Whitney,0.714882693814812,No
phasicRiseTimeValue,0.000111717087925012,7.96516458152485e-05,Mann-Whitney,0.404804259604119,No
phasicHalfRecoveryTimeValue,3.28174154518024e-11,9.18963793949956e-11,Mann-Whitney,0.708937959966575,No
phasicPeakEnergyValue,1.8960844222482e-06,9.19947892308315e-08,Mann-Whitney,0.260804859444989,No
phasicMedianValue,0.00568331655931487,0.00170232934582881,Mann-Whitney,0.707112817082143,No
phasicModeValue,0.0190364390509543,0.00181593131456481,Mann-Whitney,0.25401970667138,No
phasicRMSValue,0.0517763133769251,0.0118147258684472,Mann-Whitney,0.613241078320929,No
phasicQuartile25Value,0.040758118903385,0.00397190788943036,Mann-Whitney,0.460484031039115,No
phasicQuartile75Value,0.055644728454865,0.00268373342073569,Mann-Whitney,0.819549404843052,No
