Caracteristica,pValorDiferencia,Normalidad,TestUsado,pValor,Significativa
gsrMaxValue,0.0341651350269225,No normal,Wilcoxon,1.17306779714729e-05,1
gsrMinValue,0.0138549565585299,No normal,Wilcoxon,0.856149023371968,0
gsrRangeValue,0.0112929367177936,No normal,Wilcoxon,9.3125620761273e-06,1
gsrMeanValue,0.170825484571514,Normal,t-test,1.31983260544497e-06,1
gsrStdValue,0.00154529351793897,No normal,Wilcoxon,2.06727974704263e-05,1
gsrMedianValue,0.083700127373655,Normal,t-test,2.8892570564986e-06,1
gsrModeValue,0.0138549565585299,No normal,Wilcoxon,0.856149023371968,0
tonicMaxValue,0.989183886562459,Normal,t-test,0.000732527812224003,1
tonicMinValue,0.00254596348692848,No normal,Wilcoxon,0.00353875432554296,1
tonicRangeValue,0.243426471022258,Normal,t-test,0.610786306208587,0
tonicMeanValue,0.275302648941169,Normal,t-test,0.00335518535734351,1
tonicStdValue,0.258514253642274,Normal,t-test,0.758254654791206,0
tonicQuartile25Value,0.013420364416219,No normal,Wilcoxon,0.0151116470304819,1
tonicQuartile75Value,0.985662802490806,Normal,t-test,0.00296078162005789,1
phasicMinValue,0.361600676893617,Normal,t-test,0.169038130248242,0
phasicMaxValue,0.40376308591953,Normal,t-test,0.000350801404776937,1
phasicRangeValue,0.0281172872755376,No normal,Wilcoxon,0.000108887185280847,1
phasicMeanValue,0.962241118615632,Normal,t-test,0.00146937735073698,1
phasicEnergyValue,0.0364982898127242,No normal,Wilcoxon,0.00117574116189045,1
phasicStdValue,0.0141531381834666,No normal,Wilcoxon,0.00029481867962687,1
phasicStrongPeakValue,0.00275551453632839,No normal,Wilcoxon,1.54892927435946e-05,1
phasicNumPeaksValue,2.21913931675033e-10,No normal,Wilcoxon,0.625,0
phasicRiseTimeValue,0.107568286733742,Normal,t-test,0.000550629852591925,1
phasicHalfRecoveryTimeValue,1.08963326970191e-05,No normal,Wilcoxon,0.0968017578125,0
phasicPeakEnergyValue,1.729548747198e-05,No normal,Wilcoxon,4.10798996901413e-05,1
phasicMedianValue,0.86230605505041,Normal,t-test,0.00125337844586634,1
phasicModeValue,0.361600676893617,Normal,t-test,0.169038130248242,0
phasicRMSValue,0.879921264782518,Normal,t-test,0.000711371763058072,1
phasicQuartile25Value,0.474931293043775,Normal,t-test,0.415630667511264,0
phasicQuartile75Value,0.292630864795966,Normal,t-test,0.000452038538934435,1
